region_id,name,level,parent
10,Saarland,nuts1,DG
11,Berlin,nuts1,DG
12,Brandenburg,nuts1,DG
13,Mecklenburg-Vorpommern,nuts1,DG
14,Sachsen,nuts1,DG
15,Sachsen-Anhalt,nuts1,DG
16,Thüringen,nuts1,DG
100,Saarland,nuts2,10
110,Berlin,nuts2,11
120,Brandenburg,nuts2,12
130,Mecklenburg-Vorpommern,nuts2,13
141,"Chemnitz, Regierungsbezirk",nuts2,14
142,"Dresden, Regierungsbezirk",nuts2,14
143,"Leipzig, Regierungsbezirk",nuts2,14
145,"Chemnitz, Stat. Region",nuts2,14
146,"Dresden, Stat. Region",nuts2,14
147,"Leipzig, Stat. Region",nuts2,14
150,Sachsen-Anhalt,nuts2,15
151,"Dessau, Stat. Region",nuts2,15
152,"Halle, Stat. Region",nuts2,15
153,"Magdeburg, Stat. Region",nuts2,15
160,Thüringen,nuts2,16
10041,"Saarbrücken, Regionalverband",nuts3,100
10042,"Merzig-Wadern, Landkreis",nuts3,100
10043,"Neunkirchen, Landkreis",nuts3,100
10044,"Saarlouis, Landkreis",nuts3,100
10045,Saarpfalz-Kreis,nuts3,100
10046,"St. Wendel, Landkreis",nuts3,100
11000,Berlin,nuts3,110
12051,"Brandenburg an der Havel, Kreisfreie Stadt",nuts3,120
12052,"Cottbus, Kreisfreie Stadt",nuts3,120
12053,"Frankfurt (Oder), Kreisfreie Stadt",nuts3,120
12054,"Potsdam, Kreisfreie Stadt",nuts3,120
12060,"Barnim, Landkreis",nuts3,120
12061,"Dahme-Spreewald, Landkreis",nuts3,120
12062,"Elbe-Elster, Landkreis",nuts3,120
12063,"Havelland, Landkreis",nuts3,120
12064,"Märkisch-Oderland, Landkreis",nuts3,120
12065,"Oberhavel, Landkreis",nuts3,120
12066,"Oberspreewald-Lausitz, Landkreis",nuts3,120
12067,"Oder-Spree, Landkreis",nuts3,120
12068,"Ostprignitz-Ruppin, Landkreis",nuts3,120
12069,"Potsdam-Mittelmark, Landkreis",nuts3,120
12070,"Prignitz, Landkreis",nuts3,120
12071,"Spree-Neiße, Landkreis",nuts3,120
12072,"Teltow-Fläming, Landkreis",nuts3,120
12073,"Uckermark, Landkreis",nuts3,120
13001,"Kreisfreie Stadt Greifswald, Hansestadt",nuts3,130
13002,"Kreisfreie Stadt Neubrandenburg, Stadt",nuts3,130
13003,"Kreisfreie Stadt Rostock, Hansestadt",nuts3,130
13004,"Kreisfreie Stadt Schwerin, Landeshauptstadt",nuts3,130
13005,"Kreisfreie Stadt Stralsund, Hansestadt",nuts3,130
13006,"Kreisfreie Stadt Wismar, Hansestadt",nuts3,130
13051,Landkreis Bad Doberan,nuts3,130
13052,Landkreis Demmin,nuts3,130
13053,Landkreis Güstrow,nuts3,130
13054,Landkreis Ludwigslust,nuts3,130
13055,Landkreis Mecklenburg-Strelitz,nuts3,130
13056,Landkreis Müritz,nuts3,130
13057,Landkreis Nordvorpommern,nuts3,130
13058,Landkreis Nordwestmecklenburg,nuts3,130
13059,Landkreis Ostvorpommern,nuts3,130
13060,Landkreis Parchim,nuts3,130
13061,Landkreis Rügen,nuts3,130
13062,Landkreis Uecker-Randow,nuts3,130
13071,Landkreis Mecklenburgische Seenplatte,nuts3,130
13072,Landkreis Rostock,nuts3,130
13073,Landkreis Vorpommern-Rügen,nuts3,130
13074,Landkreis Nordwestmecklenburg,nuts3,130
13075,Landkreis Vorpommern-Greifswald,nuts3,130
13076,Landkreis Ludwigslust-Parchim,nuts3,130
14161,"Chemnitz, Kreisfreie Stadt",nuts3,141
14166,"Plauen, Kreisfreie Stadt",nuts3,141
14167,"Zwickau, Kreisfreie Stadt",nuts3,141
14171,"Annaberg, Landkreis",nuts3,141
14173,"Chemnitzer Land, Landkreis",nuts3,141
14177,"Freiberg, Landkreis",nuts3,141
14178,Vogtlandkreis,nuts3,141
14181,Mittlerer Erzgebirgskreis,nuts3,141
14182,"Mittweida, Landkreis",nuts3,141
14188,"Stollberg, Landkreis",nuts3,141
14191,"Aue-Schwarzenberg, Landkreis",nuts3,141
14193,"Zwickauer Land, Landkreis",nuts3,141
14262,"Dresden, Kreisfreie Stadt",nuts3,142
14263,"Görlitz, Kreisfreie Stadt",nuts3,142
14264,"Hoyerswerda, Kreisfreie Stadt",nuts3,142
14272,"Bautzen, Landkreis",nuts3,142
14280,"Meißen, Landkreis",nuts3,142
14284,Niederschlesischer Oberlausitzkreis,nuts3,142
14285,"Riesa-Großenhain, Landkreis",nuts3,142
14286,"Löbau-Zittau, Landkreis",nuts3,142
14287,"Sächsische Schweiz, Landkreis",nuts3,142
14290,Weißeritzkreis,nuts3,142
14292,"Kamenz, Landkreis",nuts3,142
14365,"Leipzig, Kreisfreie Stadt",nuts3,143
14374,"Delitzsch, Landkreis",nuts3,143
14375,"Döbeln, Landkreis",nuts3,143
