id,name,level,parent
10,Saarland,nuts1,DG
11,Berlin,nuts1,DG
12,Brandenburg,nuts1,DG
13,Mecklenburg-Vorpommern,nuts1,DG
14,Sachsen,nuts1,DG
15,Sachsen-Anhalt,nuts1,DG
16,Thüringen,nuts1,DG
141,Chemnitz,nuts2,14
142,Dresden,nuts2,14
143,Leipzig,nuts2,14
145,Chemnitz,nuts2,14
146,Dresden,nuts2,14
147,Leipzig,nuts2,14
151,Dessau,nuts2,15
152,Halle,nuts2,15
153,Magdeburg,nuts2,15
10041,Saarbrücken,nuts3,10
10042,Merzig-Wadern,nuts3,10
10043,Neunkirchen,nuts3,10
10044,Saarlouis,nuts3,10
10045,Saarpfalz-Kreis,nuts3,10
10046,St. Wendel,nuts3,10
11001,Berlin-Mitte,nuts3,11
11002,Berlin-Friedrichshain-Kreuzberg,nuts3,11
11003,Berlin-Pankow,nuts3,11
11004,Berlin-Charlottenburg-Wilmersdorf,nuts3,11
11005,Berlin-Spandau,nuts3,11
11006,Berlin-Steglitz-Zehlendorf,nuts3,11
11007,Berlin-Tempelhof-Schöneberg,nuts3,11
11008,Berlin-Neukölln,nuts3,11
11009,Berlin-Treptow-Köpenick,nuts3,11
11010,Berlin-Marzahn-Hellersdorf,nuts3,11
11011,Berlin-Lichtenberg,nuts3,11
11012,Berlin-Reinickendorf,nuts3,11
12051,Brandenburg an der Havel,nuts3,12
12052,Cottbus,nuts3,12
12053,Frankfurt (Oder),nuts3,12
12054,Potsdam,nuts3,12
12060,Barnim,nuts3,12
12061,Dahme-Spreewald,nuts3,12
12062,Elbe-Elster,nuts3,12
12063,Havelland,nuts3,12
12064,Märkisch-Oderland,nuts3,12
12065,Oberhavel,nuts3,12
12066,Oberspreewald-Lausitz,nuts3,12
12067,Oder-Spree,nuts3,12
12068,Ostprignitz-Ruppin,nuts3,12
12069,Potsdam-Mittelmark,nuts3,12
12070,Prignitz,nuts3,12
12071,Spree-Neiße,nuts3,12
12072,Teltow-Fläming,nuts3,12
12073,Uckermark,nuts3,12
13001,Greifswald,nuts3,13
13002,Neubrandenburg,nuts3,13
13003,Rostock,nuts3,13
13004,Schwerin,nuts3,13
13005,Stralsund,nuts3,13
13006,Wismar,nuts3,13
13051,Bad Doberan,nuts3,13
13052,Demmin,nuts3,13
13053,Güstrow,nuts3,13
13054,Ludwigslust,nuts3,13
13055,Mecklenburg-Strelitz,nuts3,13
13056,Müritz,nuts3,13
13057,Nordvorpommern,nuts3,13
13058,Nordwestmecklenburg,nuts3,13
13059,Ostvorpommern,nuts3,13
13060,Parchim,nuts3,13
13061,Rügen,nuts3,13
13062,Uecker-Randow,nuts3,13
13071,Mecklenburgische Seenplatte,nuts3,13
13072,Rostock,nuts3,13
13073,Vorpommern-Rügen,nuts3,13
13074,Nordwestmecklenburg,nuts3,13
13075,Vorpommern-Greifswald,nuts3,13
13076,Ludwigslust-Parchim,nuts3,13
14161,Chemnitz,nuts3,141
14166,Plauen,nuts3,141
14167,Zwickau,nuts3,141
14171,Annaberg,nuts3,141
14173,Chemnitzer Land,nuts3,141
14177,Freiberg,nuts3,141
14178,Vogtlandkreis,nuts3,141
14181,Mittlerer Erzgebirgskreis,nuts3,141
14182,Mittweida,nuts3,141
14188,Stollberg,nuts3,141
14191,Aue-Schwarzenberg,nuts3,141
14193,Zwickauer Land,nuts3,141
14262,Dresden,nuts3,142
14263,Görlitz,nuts3,142
14264,Hoyerswerda,nuts3,142
14272,Bautzen,nuts3,142
14280,Meißen,nuts3,142
14284,Niederschlesischer Oberlausitzkreis,nuts3,142
14285,Riesa-Großenhain,nuts3,142
14286,Löbau-Zittau,nuts3,142
14287,Sächsische Schweiz,nuts3,142
14290,Weißeritzkreis,nuts3,142
14292,Kamenz,nuts3,142
14365,Leipzig,nuts3,143
14374,Delitzsch,nuts3,143
14375,Döbeln,nuts3,143
14379,Leipziger Land,nuts3,143
14383,Muldentalkreis,nuts3,143
14389,Torgau-Oschatz,nuts3,143
14511,Chemnitz,nuts3,145
14521,Erzgebirgskreis,nuts3,145
14522,Mittelsachsen,nuts3,145
14523,Vogtlandkreis,nuts3,145
14524,Zwickau,nuts3,145
14612,Dresden,nuts3,146
14625,Bautzen,nuts3,146
14626,Görlitz,nuts3,146
14627,Meißen,nuts3,146
14628,Sächsische Schweiz-Osterzgebirge,nuts3,146
14713,Leipzig,nuts3,147
14729,Leipzig,nuts3,147
14730,Nordsachsen,nuts3,147
15001,Dessau-Roßlau,nuts3,15
15002,Halle (Saale),nuts3,15
15003,Magdeburg,nuts3,15
15081,Altmarkkreis Salzwedel,nuts3,15
15082,Anhalt-Bitterfeld,nuts3,15
15083,Börde,nuts3,15
15084,Burgenlandkreis,nuts3,15
15085,Harz,nuts3,15
15086,Jerichower Land,nuts3,15
15087,Mansfeld-Südharz,nuts3,15
