stat_name,stat_description,stat_description_full
AENW01,Entsorgte/behandelte Abfallmenge a.d. eig. BL,"**Entsorgte/behandelte Abfallmenge a.d. eig. BL**
*aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*
Entsorgte/behandelte Abfallmenge, angeliefert aus dem eigenen Bundesland"
AENW02,Abgelagerte Abfallmenge in Deponien,"**Abgelagerte Abfallmenge in Deponien**
  *aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*
  Deponien

Erläuterung für folgende Statistik(en): 32111 Statistik der Abfallentsorgung in der Entsorgungswirtschaft

Begriffsinhalt: Beseitigungsanlagen zur Ablagerung von Abfällen oberhalb der Erdoberfläche (oberirdische Deponien) oder unterhalb der Erdoberfläche (Untertagedeponien)."
AENW03,Entsorg.u.Behandlungsanl.(o.Sortier.u.Zerlege.),"**Entsorg.u.Behandlungsanl.(o.Sortier.u.Zerlege.)**
*aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*
Entsorgungs- u. Behandlungsanlagen(ohne Sortier- u. Zerlegeeinrichtungen)"
AENW04,Entsorgte/behandelte Abfallmenge a.d. eig. BL,"**Entsorgte/behandelte Abfallmenge a.d. eig. BL**
*aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*
Entsorgte/behandelte Abfallmenge, angeliefert aus dem eigenen Bundesland"
AENW05,Abgelagerte Abfallmenge in Deponien,"**Abgelagerte Abfallmenge in Deponien**
  *aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*
  Abgelagerte Abfallmenge in Deponien


Erläuterung für folgende Statistik(en): 32111 Erhebung über die Abfallentsorgung

Begriffsinhalt: Deponien

Beseitigungsanlagen zur Ablagerung von Abfällen oberhalb der Erdoberfläche (oberirdische Deponien) oder unterhalb der Erdoberfläche (Untertagedeponien). Deponieabschnitte mit un- terschiedlicher Deponieklasse werden getrennt dargestellt. Ohne Deponien in der Stilllegungsphase und ohne Deponiebau."
AENW06,Entsorg.u.Behandlungsanl.(o.Sortier.u.Zerlege.),"**Entsorg.u.Behandlungsanl.(o.Sortier.u.Zerlege.)**
  *aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*
  Entsorgungs- und Behandlungsanlagen (ohne Sortieranlagen und Zerlegeeinrichtungen)


Erläuterung für folgende Statistik(en): 32111 Erhebung über die Abfallentsorgung

Begriffsinhalt: Entsorgungs- und Behandlungsanlagen

Abfallentsorgungsanlagen, in denen Abfälle mit chemisch- physikalischen, biologischen, thermischen oder mechanischen Verfahren oder Kombinationen dieser Verfahren entsorgt bzw. behandelt werden. Ohne Deponiebau, Verfüllungsmaßnahmen unter- und übertage, Bergbauhalden, Bauschuttaufbereitungs- und Asphaltmischanlagen."
AEW001,Entsorgungs- und Behandlungsanlagen,"**Entsorgungs- und Behandlungsanlagen**
  *aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*
  Entsorgungs- und Behandlungsanlagen

Erläuterung für folgende Statistik(en): 32111 Statistik der Abfallentsorgung in der Entsorgungswirtschaft

Begriffsinhalt: Abfallentsorgungsanlagen, in denen Abfälle mit chemisch-physikalischen, biologischen, thermischen oder mechanischen Verfahren oder Kombinationen dieser Verfahren entsorgt bzw. behandelt werden. Einschl. Anlagen, die ausschließlich besonders überwachungsbedürftige Abfälle einsetzen. Ohne Bauschuttrecyclinganlagen sowie Sortieranlagen und Zerlegeeinrichtungen."
AEW002,Entsorgte/behandelte Abfallmenge,"**Entsorgte/behandelte Abfallmenge**
*aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*"
AEW003,Abgegebene Abfallmenge,"**Abgegebene Abfallmenge**
*aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*"
AEW006,Erzeuger von primär nachgewiesenen Abfallmengen,"**Erzeuger von primär nachgewiesenen Abfallmengen**
  *aus GENESIS-Statistik ""Erhebung der gefährlichen Abfälle"" 32151)*
  Erzeuger von primär nachgewiesenen Abfallmengen


Erläuterung für folgende Statistik(en): 32151 Statistik der gefährlichen Abfälle, über die Nachweise zu führen sind

Begriffsinhalt: Primär nachgewiesene Abfallmenge

Als primär nachgewiesene Abfallmengen in der Erhebung gel- ten in der Regel Mengen von Erzeugern, bei denen der Abfall erstmalig anfällt. Abfallmengen, die z. B. zunächst auf ein Zwischenlager transportiert wurden und später auf eine Ab- fallbeseitigungs- oder Verwertungsanlage verbracht werden, zählen beim zweiten Transport als sekundär nachgewiesene Ab- fälle und sind in die obige Tabelle nicht einzubeziehen. Die genaue Abgrenzung wird in den Bundesländern unterschiedlich definiert. Nachgewiesen werden in dieser Sekundärstatistik die Daten entsprechend der Verwaltungspraxis in den einzel- nen Bundesländern.

Als Sammelentsorger werden Einsammler von gefährlichen Ab- fällen bezeichnet, die von der in § 9 der Nachweisverordnung geregelten Möglichkeit des Sammelentsorgungsnachweises Ge- brauch machen. Voraussetzung hierfür ist, dass gleiche Ab- fallarten den gleichen Entsorgungsweg haben und die bei dem einzelnen Abfallerzeuger am jeweiligen Standort anfallende Abfallmenge 20 Tonnen je Abfallschlüssel und Kalenderjahr nicht übersteigt. Der Sammelentsorger tritt an die Stelle des Erzeugers, sämtliche von Sammelentsorgern eingesammelten Abfallmengen gelten folglich als primär nachgewiesen. Eine regionale Zuordnung der Sammelentsorger ist nicht immer sinnvoll. In diesen Fällen erfolgt der Nachweis der sammel- entsorgten Abfallmengen ausschließlich in der Landessumme."
AEW007,Abgegebene Abfallmenge an Entsorger,"**Abgegebene Abfallmenge an Entsorger**
*aus GENESIS-Statistik ""Erhebung der gefährlichen Abfälle"" 32151)*"
AEW008,Entsorgungs- und Behandlungsanlagen,"**Entsorgungs- und Behandlungsanlagen**
  *aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*
  Entsorgungs- und Behandlungsanlagen


Erläuterung für folgende Statistik(en): 32111 Erhebung über die Abfallentsorgung

Begriffsinhalt: Entsorgungs- und Behandlungsanlagen

Abfallentsorgungsanlagen, in denen Abfälle mit chemisch- physikalischen, biologischen, thermischen oder mechanischen Verfahren oder Kombinationen dieser Verfahren entsorgt bzw. behandelt werden. Ohne Deponiebau, Verfüllungsmaßnahmen unter- und übertage, Bergbauhalden, Bauschuttaufbereitungs- und Asphaltmischanlagen."
AEW009,Aufkommen an Haushaltsabfällen (oh.Elektroaltger.),"**Aufkommen an Haushaltsabfällen (oh.Elektroaltger.)**
*aus GENESIS-Statistik ""Erhebung der öffentl.-rechtl. Abfallentsorgung"" 32121)*
Aufkommen an Haushaltsabfällen (ohne Elektoaltgeräte)"
AEW010,Abgegebene Abfallmenge,"**Abgegebene Abfallmenge**
*aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*"
AEWN09,Entsorgte/behandelte Abfallmenge,"**Entsorgte/behandelte Abfallmenge**
*aus GENESIS-Statistik ""Erhebung der Abfallentsorgung"" 32111)*"
AI_Z01,Durchschnittsalter Gesamtbevölkerung,"**Durchschnittsalter Gesamtbevölkerung**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Durchschnittsalter der GesamtbevölkerungAussageDer Indikator gibt Auskunft über das durchschnittliche Alter der Gesamtbevölkerung und damit Hinweise auf die Altersstruktur in den Regionen.IndikatorberechnungDer Indikator gibt Auskunft über das durchschnittliche Alter der Gesamtbevölkerung und gibt damit Hinweise auf die Altersstruktur in den Regionen.HerkunftsstatistikenDer Indikator beruht auf Daten des am 9. Mai 2011 durchgeführten registergestützten Zensus.MerkmalsbeschreibungenBevölkerungZur Bevölkerung zählen die Einwohner, die zum Stichtag 9. Mai 2011 ihren Hauptwohnsitz in der Gemeinde hatten. Nicht zur Bevölkerung gehören im Ausland tätige Angehörige der Bundeswehr, der Polizeibehörden und des Auswärtigen Dienstes sowie ihre dort ansässigen Familien.AlterDas Alter der Person bezeichnet das vollendete Lebensjahr zum Stichtag 9. Mai 2011.Weiterführende InformationenAuswertungsdatenbankRegionaldatenbank: Themenbereiche"
AI_Z02,Durchschnittsalter weibliche Bevölkerung,"**Durchschnittsalter weibliche Bevölkerung**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Durchschnittsalter der weiblichen BevölkerungAussageDer Indikator gibt Auskunft über das durchschnittliche Alter der weiblichen Bevölkerung.IndikatorberechnungFür die Berechnung des Indikators  Durchschnittsalter der weiblichen Bevölkerung  zum Stichtag 9. Mai 2011 wird die Summe der Altersjahre der weiblichen Einwohner durch die Anzahl der weiblichen Einwohner dividiert.HerkunftsstatistikenDer Indikator beruht auf Daten des am 9. Mai 2011 durchgeführten registergestützten Zensus.MerkmalsbeschreibungenBevölkerungZur Bevölkerung zählen die Einwohner, die zum Stichtag 9. Mai 2011 ihren Hauptwohnsitz in der Gemeinde hatten. Nicht zur Bevölkerung gehören im Ausland tätige Angehörige der Bundeswehr, der Polizeibehörden und des Auswärtigen Dienstes sowie ihre dort ansässigen Familien.AlterDas Alter der Person bezeichnet das vollendete Lebensjahr zum Stichtag 9. Mai 2011.Weiterführende InformationenAuswertungsdatenbankRegionaldatenbank: Themenbereiche"
AI_Z03,Durchschnittsalter männliche Bevölkerung,"**Durchschnittsalter männliche Bevölkerung**
*aus GENESIS-Statistik ""Regionalatlas Deutschland"" 99910)*
Durchschnittsalter der männlichen BevölkerungAussageDer Indikator gibt Auskunft über das durchschnittliche Alter der männlichen Bevölkerung.IndikatorberechnungFür die Berechnung des Indikators  Durchschnittsalter der männlichen Bevölkerung  zum Stichtag 9. Mai 2011 wird die Summe der Altersjahre der männlichen Einwohner durch die Anzahl der männlichen Einwohner dividiertHerkunftsstatistikenDer Indikator beruht auf Daten des am 9. Mai 2011 durchgeführten registergestützten Zensus.MerkmalsbeschreibungenBevölkerungZur Bevölkerung zählen die Einwohner, die zum Stichtag 9. Mai 2011 ihren Hauptwohnsitz in der Gemeinde hatten. Nicht zur Bevölkerung gehören im Ausland tätige Angehörige der Bundeswehr, der Polizeibehörden und des Auswärtigen Dienstes sowie ihre dort ansässigen Familien.AlterDas Alter der Person bezeichnet das vollendete Lebensjahr zum Stichtag 9. Mai 2011.Weiterführende InformationenAuswertungsdatenbankRegionaldatenbank: Themenbereiche"
